Material;Material short text;Final net price;Price quantity unit net price;Consumptions
01239-021;Stolit QS R 1,5 tinted;3,65;KG;2,20 kg/m²
01239-001;Stolit QS R 1,5 white;3,07;KG;2,20 kg/m²
01240-021;Stolit QS R 2,0 tinted;3,65;KG;2,70 kg/m²
01240-001;Stolit QS R 2,0 white;3,07;KG;2,70 kg/m²
01241-021;Stolit QS R 3,0 tinted;3,65;KG;4,00 kg/m²
01241-001;Stolit QS R 3,0 white;3,07;KG;4,00 kg/m²
00152-141;StoSuperlit K 0,8 FT 08-800;5,93;KG;2,00 - 2,50 kg/m² K 0,8 (fine)
00152-142;StoSuperlit K 0,8 FT 08-810;5,93;KG;2,00 - 2,50 kg/m² K 0,8 (fine)
00152-143;StoSuperlit K 0,8 FT 08-820;5,93;KG;2,00 - 2,50 kg/m² K 0,8 (fine)
00152-144;StoSuperlit K 0,8 FT 08-830;5,93;KG;2,00 - 2,50 kg/m² K 0,8 (fine)
00152-145;StoSuperlit K 0,8 FT 08-840;5,93;KG;2,00 - 2,50 kg/m² K 0,8 (fine)
00152-150;StoSuperlit K 0,8 FT 08-890;5,93;KG;2,00 - 2,50 kg/m² K 0,8 (fine)
00152-151;StoSuperlit K 0,8 FT 08-900;5,93;KG;2,00 - 2,50 kg/m² K 0,8 (fine)
00152-152;StoSuperlit K 0,8 FT 08-910;5,93;KG;2,00 - 2,50 kg/m² K 0,8 (fine)
00152-114;StoSuperlit K 1,5 FT 15-000;3,50;KG;5,00 - 6,00 kg/m²
00152-115;StoSuperlit K 1,5 FT 15-010;3,50;KG;5,00 - 6,00 kg/m²
00152-116;StoSuperlit K 1,5 FT 15-020;3,50;KG;5,00 - 6,00 kg/m²
00152-117;StoSuperlit K 1,5 FT 15-100;3,50;KG;5,00 - 6,00 kg/m²
00152-118;StoSuperlit K 1,5 FT 15-110;3,50;KG;5,00 - 6,00 kg/m²
00152-119;StoSuperlit K 1,5 FT 15-120;3,50;KG;5,00 - 6,00 kg/m²
00152-120;StoSuperlit K 1,5 FT 15-200;3,50;KG;5,00 - 6,00 kg/m²
00152-121;StoSuperlit K 1,5 FT 15-210;3,50;KG;5,00 - 6,00 kg/m²
00152-122;StoSuperlit K 1,5 FT 15-220;3,50;KG;5,00 - 6,00 kg/m²
00152-123;StoSuperlit K 1,5 FT 15-300;3,50;KG;5,00 - 6,00 kg/m²
00152-124;StoSuperlit K 1,5 FT 15-310;3,50;KG;5,00 - 6,00 kg/m²
00152-125;StoSuperlit K 1,5 FT 15-320;3,50;KG;5,00 - 6,00 kg/m²
00152-126;StoSuperlit K 1,5 FT 15-400;3,50;KG;5,00 - 6,00 kg/m²
00152-127;StoSuperlit K 1,5 FT 15-410;3,50;KG;5,00 - 6,00 kg/m²
00152-128;StoSuperlit K 1,5 FT 15-420;3,50;KG;5,00 - 6,00 kg/m²
00152-129;StoSuperlit K 1,5 FT 15-500;3,50;KG;5,00 - 6,00 kg/m²
00152-130;StoSuperlit K 1,5 FT 15-510;3,50;KG;5,00 - 6,00 kg/m²
00152-131;StoSuperlit K 1,5 FT 15-520;3,50;KG;5,00 - 6,00 kg/m²
00152-132;StoSuperlit K 1,5 FT 15-600;3,50;KG;5,00 - 6,00 kg/m²
00152-133;StoSuperlit K 1,5 FT 15-610;3,50;KG;5,00 - 6,00 kg/m²
00152-134;StoSuperlit K 1,5 FT 15-620;3,50;KG;5,00 - 6,00 kg/m²
00152-135;StoSuperlit K 1,5 FT 15-700;3,50;KG;5,00 - 6,00 kg/m²
00152-136;StoSuperlit K 1,5 FT 15-710;3,50;KG;5,00 - 6,00 kg/m²
00152-137;StoSuperlit K 1,5 FT 15-720;3,50;KG;5,00 - 6,00 kg/m²
00152-113;StoSuperlit K 1,5 tinted;3,50;KG;5,00 - 6,00 kg/m²
00152-113;StoSuperlit K 1,5 tinted;10,87;KG;5,00 - 6,00 kg/m²
04346-019;StoLevell Reno;1,31;KG;1,28 kg/m² per mm layer thickness
00163-001;Sto-crack filler fine;4,53;KG;1,50 kg/m²
00163-006;Sto-crack filler fine;3,97;KG;1,50 kg/m²
00747-002;StoLevell Deco tinted;3,38;KG;1,30 - 1,80 kg/m² per mm layer thickness
00747-001;StoLevell Deco natural;2,81;KG;1,30 - 1,80 kg/m² per mm layer thickness
00845-006;StoMiral FL Vario;0,74;KG;0,83 kg/m² per mm layer thickness
03774-012;StoMurisol GP;0,97;KG;1,2 kg/m² per mm layer thickness
03773-012;StoMurisol SP fine;0,97;KG;1,10 kg/m² per mm layer thickness
03775-025;StoMurisol SP white;0,95;KG;1,10 kg/m² per mm layer thickness
03777-002;StoMurisol VS;0,45;KG;2,5 - 3,5 kg/m² at 50 – 60 % Deckung
00804-020;StoPrep Miral tinted;5,48;KG;0,30 - 0,40 kg/m² per coat
00804-001;StoPrep Miral natural;4,90;KG;0,30 - 0,40 kg/m² per coat
00286-001;StoPrep Miral AimS tinted;5,71;KG;0,30 - 0,40 kg/m² per coat
00286-002;StoPrep Miral AimS white;5,12;KG;0,30 - 0,40 kg/m² per coat
00801-122;Sto-Putzgrund tinted;3,76;KG;0,30 kg/m² per coat
00801-123;Sto-Putzgrund tinted;3,76;KG;0,30 kg/m² per coat
00801-124;Sto-Putzgrund tinted;4,02;KG;0,30 kg/m² per coat
00801-118;Sto-Putzgrund natural;3,29;KG;0,30 kg/m² per coat
00801-119;Sto-Putzgrund natural;3,29;KG;0,30 kg/m² per coat
00801-120;Sto-Putzgrund natural;3,61;KG;0,30 kg/m² per coat
00862-011;Sto-Putzgrund QS tinted;5,36;KG;0,30 kg/m² per coat
00862-003;Sto-Putzgrund QS natural;4,78;KG;0,30 kg/m² per coat
00884-001;StoPrep Contact;4,99;KG;0,20 - 0,40 kg/m² Streichen, Rollen
00855-003;StoPrim LP;12,53;L;0,13 - 0,15 l/m² per coat
04970-002;StoSil Patina tinted;13,43;L;0,06 l/m² pro Arbeitsgang
04970-004;StoSil Patina tinted;9,32;L;0,06 l/m² pro Arbeitsgang
04970-001;StoSil Patina transparent;12,44;L;0,06 l/m² pro Arbeitsgang
04970-003;StoSil Patina transparent;8,33;L;0,06 l/m² pro Arbeitsgang
04966-002;StoSil texture Medium tinted;4,22;KG;
04966-001;StoSil texture Medium weiss;3,64;KG;
01326-008;StoCalce Fondo tinted;7,62;KG;0,8 - 1,0 kg/m² pro Arbeitsgang
01326-009;StoCalce Fondo natural white;7,04;KG;0,8 - 1,0 kg/m² pro Arbeitsgang
01321-021;StoCalce Marmorino tinted;16,69;KG;0,2 kg/m² pro Arbeitsgang
01321-023;StoCalce Marmorino tinted;13,92;KG;0,2 kg/m² pro Arbeitsgang
01321-022;StoCalce Marmorino natural white;13,85;KG;0,2 kg/m² pro Arbeitsgang
01321-024;StoCalce Marmorino natural white;11,04;KG;0,2 kg/m² pro Arbeitsgang
04245-003;StoCalce Veneziano natural white;8,82;KG;0,8 - 1,0 kg/m² pro Arbeitsgang
00317-001;StoLook Diamant;26,07;L;0,18 l/m² per coat
01328-001;StoLook Lasura;18,58;L;0,06 l/m² per coat
00282-002;StoLook texture F tinted;4,48;KG;
00282-006;StoLook texture F tinted;5,04;KG;
00282-001;StoLook texture F white;3,90;KG;
00282-005;StoLook texture F white;4,46;KG;
00571-002;StoLook texture G tinted;4,48;KG;
00571-001;StoLook texture G white;3,90;KG;
09538-002;StoLook Ballotini 180-300 mm;3,92;KG;
00164-002;StoLook Mica Grossa;26,25;KG;
04257-001;StoLook Argento;24,27;ST;
04256-001;StoLook Oro;24,27;ST;
04255-001;StoLook Rame;24,27;ST;
04254-003;StoLook Punto F coccio pesto;7,04;KG;
04250-003;StoLook Punto F giallo mori;7,04;KG;
04252-003;StoLook Punto F nero ebano;7,04;KG;
04253-003;StoLook Punto F rosso verona;7,04;KG;
04248-003;StoLook Punto F verde alpi;7,04;KG;
04240-001;StoLook Punto Z;3,17;KG;
01339-001;StoLook Wax forte;35,30;ST;0,05 l/m² pro Arbeitsgang
02041-003;StoColor Select Sil FT AW15;3,50;L;0,12 - 0,14 l/m² per coat
02041-004;StoColor Select Sil FT STH01;3,50;L;0,12 - 0,14 l/m² per coat
02041-005;StoColor Select Sil FT STH04;3,50;L;0,12 - 0,14 l/m² per coat
02041-006;StoColor Select Sil tinted;4,48;L;0,12 - 0,14 l/m² per coat
02041-001;StoColor Select Sil white;3,50;L;0,12 - 0,14 l/m² per coat
09547-003;StoColor Sil Comfort tinted;5,84;L;0,12 - 0,14 l/m² per coat
09547-018;StoColor Sil Comfort tinted;6,66;L;0,12 - 0,14 l/m² per coat
09547-020;StoColor Sil Comfort tinted;5,84;L;0,12 - 0,14 l/m² per coat
09547-038;StoColor Sil Comfort tinted;9,95;L;0,12 - 0,14 l/m² per coat
09547-004;StoColor Sil Comfort white;4,85;L;0,12 - 0,14 l/m² per coat
09547-019;StoColor Sil Comfort white;5,67;L;0,12 - 0,14 l/m² per coat
09547-021;StoColor Sil Comfort white;4,85;L;0,12 - 0,14 l/m² per coat
09547-039;StoColor Sil Comfort white;8,96;L;0,12 - 0,14 l/m² per coat
00206-044;StoColor Sil In tinted;4,74;L;0,12 - 0,14 l/m² per coat
00206-052;StoColor Sil In tinted;4,74;L;0,12 - 0,14 l/m² per coat
00206-057;StoColor Sil In tinted;6,66;L;0,12 - 0,14 l/m² per coat
00206-086;StoColor Sil In tinted;9,95;L;0,12 - 0,14 l/m² per coat
00206-004;StoColor Sil In white;3,89;L;0,12 - 0,14 l/m² per coat
00206-006;StoColor Sil In white;3,89;L;0,12 - 0,14 l/m² per coat
00206-012;StoColor Sil In white;5,67;L;0,12 - 0,14 l/m² per coat
00206-075;StoColor Sil In white;8,96;L;0,12 - 0,14 l/m² per coat
00292-011;StoColor Sil Mineral tinted;4,40;L;0,14 - 0,16 l/m² per coat
00292-001;StoColor Sil Mineral white;3,41;L;0,14 - 0,16 l/m² per coat
00199-003;StoColor Sil Premium tinted;6,47;L;0,12 - 0,14 l/m² per coat
00199-009;StoColor Sil Premium tinted;7,29;L;0,12 - 0,14 l/m² per coat
00199-004;StoColor Sil Premium white;5,48;L;0,12 - 0,14 l/m² per coat
00199-010;StoColor Sil Premium white;6,31;L;0,12 - 0,14 l/m² per coat
00247-001;StoColor Calcetura natural;2,81;KG;0,20 kg/m² per coat
00039-006;StoColor Basic tinted;2,55;L;0,12 - 0,14 l/m² per coat
00039-007;StoColor Basic tinted;2,55;L;0,12 - 0,14 l/m² per coat
00039-008;StoColor Basic tinted;4,70;L;0,12 - 0,14 l/m² per coat
00039-001;StoColor Basic white;2,12;L;0,12 - 0,14 l/m² per coat
00039-002;StoColor Basic white;2,12;L;0,12 - 0,14 l/m² per coat
00039-003;StoColor Basic white;3,72;L;0,12 - 0,14 l/m² per coat
02990-004;StoColor Climasan tinted;14,72;L;0,14 - 0,17 l/m² per coat
02990-008;StoColor Climasan tinted;15,81;L;0,14 - 0,17 l/m² per coat
02990-001;StoColor Climasan white;13,40;L;0,14 - 0,17 l/m² per coat
02990-007;StoColor Climasan white;14,50;L;0,14 - 0,17 l/m² per coat
00237-179;StoColor In FT STH01;2,69;L;0,13 - 0,15 l/m² per coat
00237-173;StoColor In FT STH02;2,69;L;0,13 - 0,15 l/m² per coat
00237-180;StoColor In FT STH04;2,69;L;0,13 - 0,15 l/m² per coat
00237-081;StoColor In tinted;3,44;L;0,13 - 0,15 l/m² per coat
00237-082;StoColor In tinted;3,44;L;0,13 - 0,15 l/m² per coat
00237-086;StoColor In tinted;5,46;L;0,13 - 0,15 l/m² per coat
00237-093;StoColor In tinted;8,75;L;0,13 - 0,15 l/m² per coat
00237-018;StoColor In white;7,76;L;0,13 - 0,15 l/m² per coat
00237-020;StoColor In white;4,47;L;0,13 - 0,15 l/m² per coat
00237-022;StoColor In white;2,69;L;0,13 - 0,15 l/m² per coat
00237-024;StoColor In white;2,69;L;0,13 - 0,15 l/m² per coat
00289-013;StoColor Isol W tinted;12,36;L;0,13 - 0,15 l/m² per coat
00289-026;StoColor Isol W tinted;13,18;L;0,13 - 0,15 l/m² per coat
00289-001;StoColor Isol W white;11,37;L;0,13 - 0,15 l/m² per coat
00289-004;StoColor Isol W white;12,20;L;0,13 - 0,15 l/m² per coat
00030-002;StoColor Opticryl Gloss tinted;10,03;L;0,13 - 0,15 l/m² per coat
00030-006;StoColor Opticryl Gloss tinted;16,46;L;0,13 - 0,15 l/m² per coat
00030-007;StoColor Opticryl Gloss tinted;13,17;L;0,13 - 0,15 l/m² per coat
00030-008;StoColor Opticryl Gloss tinted;10,03;L;0,13 - 0,15 l/m² per coat
00030-001;StoColor Opticryl Gloss white;9,13;L;0,13 - 0,15 l/m² per coat
00030-003;StoColor Opticryl Gloss white;15,47;L;0,13 - 0,15 l/m² per coat
00030-004;StoColor Opticryl Gloss white;12,19;L;0,13 - 0,15 l/m² per coat
00030-005;StoColor Opticryl Gloss white;9,13;L;0,13 - 0,15 l/m² per coat
00024-002;StoColor Opticryl matte tinted;5,39;L;0,13 - 0,15 l/m² per coat
00024-006;StoColor Opticryl matte tinted;10,83;L;0,13 - 0,15 l/m² per coat
00024-007;StoColor Opticryl matte tinted;7,55;L;0,13 - 0,15 l/m² per coat
00024-008;StoColor Opticryl matte tinted;5,39;L;0,13 - 0,15 l/m² per coat
00024-001;StoColor Opticryl matte white;4,59;L;0,13 - 0,15 l/m² per coat
00024-003;StoColor Opticryl matte white;9,84;L;0,13 - 0,15 l/m² per coat
00024-004;StoColor Opticryl matte white;6,56;L;0,13 - 0,15 l/m² per coat
00024-005;StoColor Opticryl matte white;4,59;L;0,13 - 0,15 l/m² per coat
00028-002;StoColor Opticryl Satin tinted;7,30;L;0,13 - 0,15 l/m² per coat
00028-006;StoColor Opticryl Satin tinted;13,10;L;0,13 - 0,15 l/m² per coat
00028-007;StoColor Opticryl Satin tinted;9,82;L;0,13 - 0,15 l/m² per coat
00028-008;StoColor Opticryl Satin tinted;7,30;L;0,13 - 0,15 l/m² per coat
00028-001;StoColor Opticryl Satin white;6,43;L;0,13 - 0,15 l/m² per coat
00028-003;StoColor Opticryl Satin white;12,12;L;0,13 - 0,15 l/m² per coat
00028-004;StoColor Opticryl Satin white;8,84;L;0,13 - 0,15 l/m² per coat
00028-005;StoColor Opticryl Satin white;6,43;L;0,13 - 0,15 l/m² per coat
00026-002;StoColor Opticryl Satinmatt tinted;5,67;L;0,13 - 0,15 l/m² per coat
00026-006;StoColor Opticryl Satinmatt tinted;11,18;L;0,13 - 0,15 l/m² per coat
00026-007;StoColor Opticryl Satinmatt tinted;7,90;L;0,13 - 0,15 l/m² per coat
00026-008;StoColor Opticryl Satinmatt tinted;5,67;L;0,13 - 0,15 l/m² per coat
00026-001;StoColor Opticryl Satinmatt white;4,86;L;0,13 - 0,15 l/m² per coat
00026-003;StoColor Opticryl Satinmatt white;10,19;L;0,13 - 0,15 l/m² per coat
00026-004;StoColor Opticryl Satinmatt white;6,91;L;0,13 - 0,15 l/m² per coat
00026-005;StoColor Opticryl Satinmatt white;4,86;L;0,13 - 0,15 l/m² per coat
09622-001;StoColor Premiummatt KF tinted;6,88;L;0,12 - 0,14 l/m² per coat
09622-003;StoColor Premiummatt KF tinted;7,70;L;0,12 - 0,14 l/m² per coat
09622-002;StoColor Premiummatt KF white;5,90;L;0,12 - 0,14 l/m² per coat
09622-004;StoColor Premiummatt KF white;6,71;L;0,12 - 0,14 l/m² per coat
00407-001;StoColor PuraClean tinted;13,37;L;
00407-003;StoColor PuraClean tinted;12,56;L;
00407-005;StoColor PuraClean tinted;16,66;L;
00407-002;StoColor PuraClean white;12,39;L;
00407-004;StoColor PuraClean white;11,57;L;
00407-006;StoColor PuraClean white;15,68;L;
02260-001;StoColor Rapid Neo tinted;6,51;L;0,13 - 0,15 l/m² per coat
02260-002;StoColor Rapid Neo white;5,52;L;0,13 - 0,15 l/m² per coat
08109-029;StoColor Rapid Ultramatt FT STH01;4,33;L;0,13 - 0,15 l/m² per coat
08109-030;StoColor Rapid Ultramatt FT STH04;4,33;L;0,13 - 0,15 l/m² per coat
08109-005;StoColor Rapid Ultramatt tinted;10,72;L;0,13 - 0,15 l/m² per coat
08109-006;StoColor Rapid Ultramatt tinted;7,43;L;0,13 - 0,15 l/m² per coat
08109-007;StoColor Rapid Ultramatt tinted;4,91;L;0,13 - 0,15 l/m² per coat
08109-008;StoColor Rapid Ultramatt tinted;4,91;L;0,13 - 0,15 l/m² per coat
08109-031;StoColor Rapid Ultramatt tinted verarbei;4,91;L;0,13 - 0,15 l/m² per coat
08109-001;StoColor Rapid Ultramatt white;9,73;L;0,13 - 0,15 l/m² per coat
08109-002;StoColor Rapid Ultramatt white;6,44;L;0,13 - 0,15 l/m² per coat
08109-003;StoColor Rapid Ultramatt white;4,33;L;0,13 - 0,15 l/m² per coat
08109-004;StoColor Rapid Ultramatt white;4,33;L;0,13 - 0,15 l/m² per coat
08109-032;StoColor Rapid Ultramatt white verarbeitu;4,33;L;0,13 - 0,15 l/m² per coat
02260-010;StoColor Rapid/Rapid Neo AW11;5,52;L;0,13 - 0,15 l/m² per coat
02260-011;StoColor Rapid/Rapid Neo AW15;5,52;L;0,13 - 0,15 l/m² per coat
02260-008;StoColor Rapid/Rapid Neo tinted;6,51;L;0,13 - 0,15 l/m² per coat
02260-014;StoColor Rapid/Rapid Neo tinted;6,51;L;0,13 - 0,15 l/m² per coat
02260-016;StoColor Rapid/Rapid Neo tinted;7,33;L;0,13 - 0,15 l/m² per coat
02260-018;StoColor Rapid/Rapid Neo tinted;10,61;L;0,13 - 0,15 l/m² per coat
02260-012;StoColor Rapid/Rapid Neo RAL9010;5,52;L;0,13 - 0,15 l/m² per coat
02260-013;StoColor Rapid/Rapid Neo RAL9016;5,52;L;0,13 - 0,15 l/m² per coat
02260-009;StoColor Rapid/Rapid Neo white;5,52;L;0,13 - 0,15 l/m² per coat
02260-015;StoColor Rapid/Rapid Neo white;5,52;L;0,13 - 0,15 l/m² per coat
02260-017;StoColor Rapid/Rapid Neo white;6,34;L;0,13 - 0,15 l/m² per coat
02260-019;StoColor Rapid/Rapid Neo white;9,62;L;0,13 - 0,15 l/m² per coat
02260-020;StoColor Rapid/Rapid Neo white verarbeitu;5,52;L;0,13 - 0,15 l/m² per coat
09623-001;StoColor Saphir KF tinted;8,25;L;0,12 - 0,14 l/m² per coat
09623-002;StoColor Saphir KF white;7,27;L;0,12 - 0,14 l/m² per coat
09746-003;StoColor Select DIN FT AW11;2,18;L;0,12 - 0,14 l/m² per coat
09746-004;StoColor Select DIN FT AW15;2,18;L;0,12 - 0,14 l/m² per coat
09746-001;StoColor Select DIN tinted;3,13;L;0,12 - 0,14 l/m² per coat
09746-005;StoColor Select DIN RAL9010;2,18;L;0,12 - 0,14 l/m² per coat
09746-006;StoColor Select DIN RAL9016;2,18;L;0,12 - 0,14 l/m² per coat
09746-002;StoColor Select DIN white;2,18;L;0,12 - 0,14 l/m² per coat
09378-001;StoColor Supermatt tinted;7,31;L;0,13 - 0,15 l/m² per coat
09378-003;StoColor Supermatt tinted;8,13;L;0,13 - 0,15 l/m² per coat
09378-022;StoColor Supermatt tinted;7,31;L;0,13 - 0,15 l/m² per coat
09378-002;StoColor Supermatt white;6,32;L;0,13 - 0,15 l/m² per coat
09378-004;StoColor Supermatt white;7,14;L;0,13 - 0,15 l/m² per coat
09378-023;StoColor Supermatt white;6,32;L;0,13 - 0,15 l/m² per coat
00097-003;StoColor Titanium tinted;8,06;L;0,14 - 0,17 l/m² per coat
00097-004;StoColor Titanium tinted;8,06;L;0,14 - 0,17 l/m² per coat
00097-025;StoColor Titanium tinted;8,87;L;0,14 - 0,17 l/m² per coat
00097-001;StoColor Titanium white;7,07;L;0,14 - 0,17 l/m² per coat
00097-002;StoColor Titanium white;7,07;L;0,14 - 0,17 l/m² per coat
00097-026;StoColor Titanium white;7,89;L;0,14 - 0,17 l/m² per coat
00097-020;StoColor Titanium ASE tinted;10,77;L;0,14 - 0,17 l/m² per coat
00097-021;StoColor Titanium ASE tinted;11,59;L;0,14 - 0,17 l/m² per coat
00097-024;StoColor Titanium ASE tinted;14,87;L;0,14 - 0,17 l/m² per coat
00097-036;StoColor Titanium ASE tinted;10,40;L;0,14 - 0,17 l/m² per coat
00200-012;StoColor Isol tinted;14,97;L;0,13 - 0,15 l/m² per coat
00200-011;StoColor Isol white;13,98;L;0,13 - 0,15 l/m² per coat
00080-003;StoColor Puran Satin Komp. A tinted;18,45;KG;0,15 - 0,20 kg/m² per coat (Komponente A+B)
00080-004;StoColor Puran Satin Komp. A white;17,87;KG;0,15 - 0,20 kg/m² per coat (Komponente A+B)
00082-003;StoColor Puran Satin Komp. B;17,87;KG;0,15 - 0,20 kg/m² per coat (Komponente A+B)
00082-003;StoColor Puran Satin Komp. B;18,45;KG;0,15 - 0,20 kg/m² per coat (Komponente A+B)
00080/003;StoColor Puran Satin Set tinted;18,45;KG;0,15 - 0,20 kg/m² per coat (Komponente A+B)
00080/004;StoColor Puran Satin Set white;17,87;KG;0,15 - 0,20 kg/m² per coat (Komponente A+B)
09609-001;StoPrim GT;2,29;L;0,10 - 0,40 l/m² per coat
00049-001;StoPrim Sil Color tinted;4,36;L;0,15 - 0,20 l/m² per coat
00049-003;StoPrim Sil Color tinted;5,18;L;0,15 - 0,20 l/m² per coat
00049-002;StoPrim Sil Color white;3,37;L;0,15 - 0,20 l/m² per coat
00049-004;StoPrim Sil Color white;4,19;L;0,15 - 0,20 l/m² per coat
00049-007;StoPrim Sil Color white;4,36;L;0,15 - 0,20 l/m² per coat
01308-009;StoPrep Isol Q;7,59;KG;0,35 kg/m² Streichen, Rollen
00517-008;StoPrim Color tinted;5,75;L;0,1 - 0,13 l/m² per coat
00517-025;StoPrim Color tinted;6,57;L;0,1 - 0,13 l/m² per coat
00517-001;StoPrim Color white;4,76;L;0,1 - 0,13 l/m² per coat
00517-026;StoPrim Color white;5,58;L;0,1 - 0,13 l/m² per coat
09747-001;StoPrim In Basic;2,99;L;0,10 ml/m²
00518-001;StoPrim Plex;3,03;L;0,10 - 0,40 l/m² per coat
00518-002;StoPrim Plex;1,95;L;0,10 - 0,40 l/m² per coat
00518-009;StoPrim Plex;3,67;L;0,10 - 0,40 l/m² per coat
01356-002;Metylan NP Power Granulat plus Inhalt: 5;156,50;ST;
00590-003;Metylan TG Power Granulat Inhalt: 5 kg;216,50;ST;2 g/m² Grundieren/Vorkleistern
01356-001;Metylan NP Inhalt: 1 kg;20,87;ST;
00590-001;Metylan TG instant (0,500 kg-Packung);21,83;ST;
00828-072;StoColl Tap;1,40;KG;0,16 kg/m² je nach Vliesart and substrate
00828-064;StoColl Tex;1,95;KG;0,18 - 0,25 kg/m² je nach Gewebeart and substrate
00259-001;StoColl Trend;1,61;KG;0,13 - 0,18 kg/m² depending on the wall covering and substrate
09620-001;StoDecosit K 1,0 tinted;2,47;KG;2,00 kg/m²
09620-002;StoDecosit K 1,0 white;1,89;KG;2,00 kg/m²
09620-003;StoDecosit K 1,5 tinted;2,47;KG;2,20 kg/m²
09620-004;StoDecosit K 1,5 white;1,89;KG;2,20 kg/m²
09620-005;StoDecosit K 2,0 tinted;2,47;KG;2,90 kg/m²
09620-006;StoDecosit K 2,0 white;1,89;KG;2,90 kg/m²
09620-041;StoDecosit K 3,0 tinted;2,47;KG;3,9 kg/m²
09620-042;StoDecosit K 3,0 white;1,89;KG;3,9 kg/m²
09620-011;StoDecosit MP 0,5 tinted;2,84;KG;1,50 - 4,00 kg/m²
09620-012;StoDecosit MP 0,5 white;2,25;KG;1,50 - 4,00 kg/m²
09620-007;StoDecosit R 1,0 tinted;2,47;KG;1,60 - 1,80 kg/m²
09620-008;StoDecosit R 1,0 white;1,89;KG;1,60 - 1,80 kg/m²
09620-009;StoDecosit R 1,5 tinted;2,47;KG;2,20 kg/m²
09620-010;StoDecosit R 1,5 white;1,89;KG;2,20 kg/m²
09620-013;StoDecosit SP 1,0 tinted;3,80;KG;0,5 - 0,8 kg/m²
09620-014;StoDecosit SP 1,0 white;3,21;KG;0,5 - 0,8 kg/m²
09620-015;StoDecosit SP 1,5 tinted;3,80;KG;0,7 - 0,9 kg/m²
09620-016;StoDecosit SP 1,5 white;3,21;KG;0,7 - 0,9 kg/m²
09218-003;StoCalce Activ K 1,5;1,20;KG;2,00 kg/m²
09217-003;StoCalce Activ MP 1,0;1,20;KG;1,70 - 4,00 kg/m²
09546-001;StoCalce Natura K 1,0;0,78;KG;2,00 kg/m²
09546-002;StoCalce Natura K 1,5;0,78;KG;2,50 kg/m²
09546-003;StoCalce Natura MP 0,5;0,78;KG;1,40 - 4,00 kg/m²
00180-039;StoGranit K 1,5 FT 15-000;4,01;KG;4,00 - 5,00 kg/m²
00180-040;StoGranit K 1,5 FT 15-010;4,01;KG;4,00 - 5,00 kg/m²
00180-041;StoGranit K 1,5 FT 15-020;4,01;KG;4,00 - 5,00 kg/m²
00180-042;StoGranit K 1,5 FT 15-100;4,01;KG;4,00 - 5,00 kg/m²
00180-043;StoGranit K 1,5 FT 15-110;4,01;KG;4,00 - 5,00 kg/m²
00180-044;StoGranit K 1,5 FT 15-120;4,01;KG;4,00 - 5,00 kg/m²
00180-045;StoGranit K 1,5 FT 15-200;4,01;KG;4,00 - 5,00 kg/m²
00180-046;StoGranit K 1,5 FT 15-210;4,01;KG;4,00 - 5,00 kg/m²
00180-047;StoGranit K 1,5 FT 15-220;4,01;KG;4,00 - 5,00 kg/m²
00180-048;StoGranit K 1,5 FT 15-300;4,01;KG;4,00 - 5,00 kg/m²
00180-049;StoGranit K 1,5 FT 15-310;4,01;KG;4,00 - 5,00 kg/m²
00180-050;StoGranit K 1,5 FT 15-320;4,01;KG;4,00 - 5,00 kg/m²
00180-051;StoGranit K 1,5 FT 15-400;4,01;KG;4,00 - 5,00 kg/m²
00180-052;StoGranit K 1,5 FT 15-410;4,01;KG;4,00 - 5,00 kg/m²
00180-053;StoGranit K 1,5 FT 15-420;4,01;KG;4,00 - 5,00 kg/m²
00180-054;StoGranit K 1,5 FT 15-500;4,01;KG;4,00 - 5,00 kg/m²
00180-055;StoGranit K 1,5 FT 15-510;4,01;KG;4,00 - 5,00 kg/m²
00180-056;StoGranit K 1,5 FT 15-520;4,01;KG;4,00 - 5,00 kg/m²
00180-057;StoGranit K 1,5 FT 15-600;4,01;KG;4,00 - 5,00 kg/m²
00180-058;StoGranit K 1,5 FT 15-610;4,01;KG;4,00 - 5,00 kg/m²
00180-059;StoGranit K 1,5 FT 15-620;4,01;KG;4,00 - 5,00 kg/m²
00180-060;StoGranit K 1,5 FT 15-700;4,01;KG;4,00 - 5,00 kg/m²
00180-061;StoGranit K 1,5 FT 15-710;4,01;KG;4,00 - 5,00 kg/m²
00180-062;StoGranit K 1,5 FT 15-720;4,01;KG;4,00 - 5,00 kg/m²
00180-038;StoGranit K 1,5 tinted;4,01;KG;4,00 - 5,00 kg/m²
00180-038;StoGranit K 1,5 tinted;12,96;KG;4,00 - 5,00 kg/m²
00300-007;StoLook Decor Fine 1,0 tinted;3,86;KG;
00302-005;StoLook Decor Medium 1,5 tinted;3,86;KG;
00302-001;StoLook Decor Medium 1,5 white;3,29;KG;
00735-017;StoLook Decor Perl 2,0 white;3,14;KG;
00819-001;StoLevell In Sil;1,62;KG;1,70 kg/m² per mm layer thickness
00819-002;StoLevell In Sil;1,30;KG;1,70 kg/m² per mm layer thickness
02970-001;StoLevell In Fill;1,04;KG;1,00 kg/m² per mm layer thickness
02970-002;StoLevell In Fill;2,12;KG;1,00 kg/m² per mm layer thickness
09320-007;StoLevell Calce FS tinted;1,68;KG;1,10 kg/m² per mm layer thickness
09320-008;StoLevell Calce FS natural white;1,10;KG;1,10 kg/m² per mm layer thickness
